Brand,Model,Riding_Style,Riding_Level,Shape,Camber_Profile,Stance,Flex,Price_USD,Powder,,,,,,,,
Arbor,Bryan Iguchi Pro Camber,All Mountain,Intermediate-Expert,Tapered Directional,Mostly Camber,Centered,Medium/Stiff,599,Average,,,,,,,,
Bataleon,Goliath,All Mountain,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium,499,Average,,,,,,,,
Endeavor,Clout,All Mountain,Intermediate-Expert,Directional Twin,Mostly Camber,Centered,Medium,579,Average,,,,,,,,
Gilson,Pioneer,All Mountain,Intermediate-Expert,True Twin,Mostly Camber,Centered,Medium/Soft,519,Average,,,,,,,,
Jones,Mountain Twin,All Mountain,Beginner-Expert,Directional Twin,Hybrid Camber,Centered,Medium,499,Average,,,,,,,,
Jones,Ultra Mountain Twin,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium/Stiff,599,Average,,,,,,,,
Lib Tech,Terrain Wrecker,All Mountain,Beginner-Expert,Directional Twin,Hybrid Rocker,Centered,Medium,519,Average,,,,,,,,
Lib Tech,Attack Banana,All Mountain,Beginner-Expert,Directional Twin,Hybrid Rocker,Centered,Medium,589,Average,,,,,,19.2,,
Rome,Warden,All Mountain,Advanced-Expert,Directional Twin,Mostly Camber,Centered,Medium,399,Average,,,,,,40.1,0.4,58.9
Rome ,National,All Mountain,Intermediate-Expert,Directional Twin,Mostly Camber,Centered,Medium,599,Average,,,,,,22.6,1.4,80.1
Salomon,Assassin Pro,All Mountain,Intermediate-Expert,Directional Twin,Hybrid Camber,Centered,Medium,549,Average,,,,,,,,
Yes,Ghost,All Mountain,Advanced-Expert,Directional Twin,Hybrid Camber,Centered,Medium,549,Average,,,,,,,,
Yes,Warca,All Mountain,Advanced-Expert,Tapered Directional,Mostly Camber,Centered,Medium,599,Average,,,,,,,,
Alloy,B-Bomb,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium,549,Average,,,,,,,,
Arbor,Formula,All Mountain Freestyle,Beginner-Intermediate,Directional Twin,Continuous Rocker,Centered,Medium,359,Average,,,,,,,,
Bataleon,Evil Twin,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium,499,Average,,,,,,,,
Burton,Trick Pilot,All Mountain Freestyle,Advanced-Expert,True Twin,Mostly Camber,Centered,Medium,549,Average,,,,,,,,
Capita,Outerspace Living,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium,399,Average,,,,,,,,
Endeavor,BOD,All Mountain Freestyle,Intermediate-Expert,Directional Twin,Mostly Camber,Centered,Medium,499,Average,,,,,,,,
Gnu,T2B,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Rocker,Centered,Medium,479,Average,,,,,,,,
Gnu,Riders Choice,All Mountain Freestyle,Beginner-Expert,Asymmetrical Twin,Hybrid Rocker,Centered,Medium,569,Average,,,,,,,,
Lib Tech,Box Knife,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium/Soft,479,Average,,,,,,,,
Lib Tech,Double Dip,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Rocker,Centered,Medium,519,Average,,,,,,,,
Lib Tech,T Ras,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Rocker,Centered,Medium/Stiff,599,Average,,,,,,,,
Lib Tech,Travis Rice Pro HP,All Mountain Freestyle,Advanced-Expert,True Twin,Hybrid Rocker,Centered,Medium,599,Average,,,,,,,,
Lib Tech,TRS Firepower,All Mountain Freestyle,Intermediate-Expert,Directional Twin,Hybrid Rocker,Centered,Medium,749,Average,,,,,,,,
Lib Tech,Banana Magic,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Rocker,Centered,Medium,749,Average,,,,,,,,
Lobster,Halldor Pro,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Camber,Centered,Medium,499,Average,,,,,,,,
Never Summer, Warlock,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Rocker,Centered,Medium/Soft,519,Average,,,,,,,,
Never Summer, Ripsaw,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Rocker,Centered,Medium/Stiff,519,Average,,,,,,,,
Never Summer, Dipstick,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Rocker,Centered,Medium,539,Average,,,,,,,,
Never Summer, Proto Type,All Mountain Freestyle,Intermediate-Expert,Asymmetrical Twin,Hybrid Rocker,Centered,Medium,569,Average,,,,,,,,
Never Summer, Proto,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Rocker,Centered,Medium,599,Average,,,,,,,,
Never Summer, Proto Synthesis,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Rocker,Centered,Medium,599,Average,,,,,,,,
Never Summer, Proto Ultra,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium/Stiff,684,Average,,,,,,,,
Niche,Aether,All Mountain Freestyle,Beginner-Expert,Directional Twin,Hybrid Rocker,Centered,Medium,529,Average,,,,,,,,
Nitro,Santoku,All Mountain Freestyle,Intermediate-Expert,True Twin,Traditional Camber,Centered,Medium,499,Average,,,,,,,,
Prior,Wildcard,All Mountain Freestyle,Beginner-Expert,True Twin,Hybrid Rocker,Centered,Medium,479,Average,,,,,,,,
Ride,Machete,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium/Stiff,429,Average,,,,,,,,
Ride,Twinpig,All Mountain Freestyle,Beginner-Expert,Asymmetrical Twin,Hybrid Camber,Centered,Medium/Soft,499,Average,,,,,,,,
Ride,Burnout,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium,499,Average,,,,,,,,
Ride,Machete GT,All Mountain Freestyle,Intermediate-Expert,True Twin,Hybrid Camber,Centered,Medium,579,Average,,,,,,,,
